Classe;DesignRole;NOM;LOCC;Concorda?;
br.gov.se.sefaz.deh.to.digitalizacao.ExcluirProtocoloDigitalizacaoInformarDados;TRANSACAO;1;49;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.parametros.ExcluirParametroDiario;TRANSACAO;2;15;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ImprimirProtocoloConfRec;TRANSACAORELATORIO;1;23;SIM;
br.gov.se.sefaz.deh.to.contador.ListarMensagensContador;TRANSACAO;1;33;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciarDHExOficioConfirmarCredenciamento;TRANSACAO;2;109;SIM;
br.gov.se.sefaz.deh.to.estagioProcDocumento.InserirEstagioProcDocumento;TRANSACAO;2;21;SIM;
br.gov.se.sefaz.deh.to.estagioProcDocumento.TransacaoEstagioProcDocumento;TRANSACAO;5;49;SIM;
br.gov.se.sefaz.deh.to.documentoPossivel.AlterarDocumentoPossivel;TRANSACAO;1;16;SIM;
br.gov.se.sefaz.deh.to.diarioEletronico.ConsultarDiarioEletronico;TRANSACAO;4;215;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ExibirComunicado;TRANSACAO;1;54;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.InserirProcuradorCaixaPostal;TRANSACAO;3;136;SIM;
br.gov.se.sefaz.deh.to.credenciamento.CredenciarDHExOficioEnderecoEmpresa;TRANSACAO;2;46;SIM;
br.gov.se.sefaz.deh.to.permissaocomunicado.IncluirPermissaoComunicado;TRANSACAO;2;51;SIM;
br.gov.se.sefaz.deh.to.digitalizacao.ReimprimirProtocoloConfirmar;TRANSACAORELATORIO;4;102;SIM;
br.gov.se.sefaz.deh.to.mensagemcomunicado.ExibirComunicadosPublicados;TRANSACAO;1;26;SIM;
br.gov.se.sefaz.deh.to.permissaocomunicado.ExcluirPermissaoComunicado;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.deh.to.procuradorcaixapostal.DelegacaoPoderes;TRANSACAO;1;15;SIM;
