Classe;DesignRole;NOM;LOCC;Concorda?;
br.gov.se.sefaz.sge.dao.DAOParametroAgendaSQLBean;PERSISTENCE;12;111;SIM;
br.gov.se.sefaz.sge.ne.EntidadeAgendaIndividual;ENTITY;28;97;SIM;
br.gov.se.sefaz.sge.ne.EntidadeParametroAgenda;ENTITY;20;66;SIM;
br.gov.se.sefaz.sge.ne.EntidadeAgendaSetorial;ENTITY;30;104;SIM;
br.gov.se.sefaz.sge.ne.EntidadeAtividadeAgenda;ENTITY;7;21;SIM;
br.gov.se.sefaz.sge.ne.EntidadeAssuntoAgenda;ENTITY;7;21;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorAgendaIndividual;GERENCIADORAGENDA;11;111;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorAgendaSetorial;GERENCIADORAGENDA;11;113;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorAtividadeAgenda;UNDEFINED;6;41;SIM;
br.gov.se.sefaz.sge.ng.util.GerenciadorUtil;UNDEFINED;7;36;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorAgenda;UNDEFINED;1;3;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorParametroAgenda;UNDEFINED;10;64;SIM;
br.gov.se.sefaz.sge.ng.GerenciadorAssuntoAgenda;UNDEFINED;6;41;SIM;
br.gov.se.sefaz.sge.ti.SGEIntegracao;UNDEFINED;17;167;SIM;
br.gov.se.sefaz.sge.to.agenda.RetirarAtividadeDaAgenda;TRANSACAO;6;96;SIM;
br.gov.se.sefaz.sge.to.agenda.parametros.AlterarParametroAgenda;TRANSACAO;2;119;SIM;
br.gov.se.sefaz.sge.to.atividadeAgenda.InserirAtividadeAgenda;TRANSACAO;2;18;SIM;
br.gov.se.sefaz.sge.to.assuntoAgenda.InserirAssuntoAgenda;TRANSACAO;2;18;SIM;
br.gov.se.sefaz.sge.to.abas.ConjuntoAbasAtividadesPendentesFuncionario;ABAS;1;19;SIM;
br.gov.se.sefaz.sge.to.agenda.parametros.InserirParametroAgenda;TRANSACAO;2;150;SIM;
br.gov.se.sefaz.sge.to.assuntoAgenda.ExcluirAssuntoAgenda;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.sge.to.abas.AbasAgendaBase;ABAS;1;11;SIM;
br.gov.se.sefaz.sge.to.atividadeAgenda.ConsultarAtividadeAgenda;TRANSACAO;1;11;SIM;
br.gov.se.sefaz.sge.to.agenda.ConsultaRetirarAtividadeDaAgenda;TRANSACAO;9;131;SIM;
br.gov.se.sefaz.sge.to.assuntoAgenda.ConsultarAssuntoAgenda;TRANSACAO;1;11;SIM;
br.gov.se.sefaz.sge.to.abas.ConjuntoAbasAgendaSetorial;ABAS;1;5;SIM;
br.gov.se.sefaz.sge.to.abas.ConjuntoAbasAtividadesPendentesSetor;ABAS;1;18;SIM;
br.gov.se.sefaz.sge.to.TransacaoSGE;TRANSACAO;4;58;SIM;
br.gov.se.sefaz.sge.to.agenda.parametros.ListarParametroAgenda;TRANSACAO;1;52;SIM;
br.gov.se.sefaz.sge.to.agenda.ListarAgendaIndividual;TRANSACAO;1;66;SIM;
br.gov.se.sefaz.sge.to.atividadeAgenda.ExcluirAtividadeAgenda;TRANSACAO;2;17;SIM;
br.gov.se.sefaz.sge.to.abas.ConjuntoAbasAtividadesPendentesSetorPorAtividade;ABAS;1;20;SIM;
br.gov.se.sefaz.sge.to.agenda.ListarAgendaSetorial;TRANSACAO;1;67;SIM;
br.gov.se.sefaz.sge.to.agenda.ConsultarFuncionariosAgendaAtvdPendentes;TRANSACAO;3;33;SIM;
br.gov.se.sefaz.sge.to.assuntoAgenda.AlterarAssuntoAgenda;TRANSACAO;2;27;SIM;
br.gov.se.sefaz.sge.to.agenda.ListarAtividadesPendentesSetorAcaoConhecimento;TRANSACAO;1;58;SIM;
br.gov.se.sefaz.sge.to.agenda.ConsultarUnidAtvdPendentesAgendaSetorial;TRANSACAO;3;33;SIM;
br.gov.se.sefaz.sge.to.agenda.ListarAtividadesPendentesFuncionarioAcaoConhecimento;TRANSACAO;1;67;SIM;
br.gov.se.sefaz.sge.to.agenda.parametros.ExcluirParametroAgenda;TRANSACAO;2;50;SIM;
br.gov.se.sefaz.sge.to.abas.ConjuntoAbasAgenda;ABAS;1;23;SIM;
br.gov.se.sefaz.sge.to.atividadeAgenda.AlterarAtividadeAgenda;TRANSACAO;2;30;SIM;
br.gov.se.sefaz.sge.to.agenda.ListarAtividadesPendentesSetorPorAtividade;TRANSACAO;1;75;SIM;
